state,ags,place,population
RP,071385009042,Meinborn,523
BY,091710117117,Garching a.d.Alz,8419
RP,071405009025,Damscheid,682
RP,071335010066,Merxheim,1434
BW,082150105105,Linkenheim-Hochstetten,12265
RP,072335001501,"Daun, Stadt",7604
NI,033545407016,Luckau (Wendland),540
RP,073385004018,Maxdorf,7084
TH,160745005039,Heideland (Landkreis Saale-Holzland-Kreis),1765
RP,072315008069,Klausen,1461
RP,071415011051,Hahnstätten,2929
HE,064320010010,"Groß-Umstadt, Stadt",21244
BW,081275004032,"Gerabronn, Stadt",4463
RP,071435002267,Mudenbach,750
RP,072325006332,Hersdorf,406
RP,071345005059,Niederhosenbach,306
RP,071405008139,Schönborn (Landkreis Rhein-Hunsrück-Kreis),277
RP,072335006050,Neroth,856
RP,073405001010,Erlenbach bei Dahn,310
RP,073365008058,"Lauterecken, Stadt",1954
MV,130715162068,Ivenack,780
BW,082260103103,St. Leon-Rot,13996
BY,096740147147,"Haßfurt, St",13509
HE,065350005005,Gemünden (Felda),2648
RP,071335011085,Roth,283
RP,071435009230,Härtlingen,382
BW,083175004040,"Haslach im Kinzigtal, Stadt",7156
SN,146285219140,Gohrisch,1777
NI,033575407007,Breddorf,1013
BY,092710128128,Künzing,3190
NI,033575401024,Hemsbünde,1170
BY,097735713153,Medlingen,999
BY,091875165164,Ramerberg,1365
TH,160745011033,Großpürschütz,379
HE,064310020020,"Viernheim, Stadt",34252
BW,083170031031,Friesenheim (Landkreis Ortenaukreis),13509
NI,033575404042,Seedorf (Landkreis Rotenburg (Wümme)),727
BY,097760114114,"Heimenkirch, M",3516
RP,073355011031,Oberarnbach,409
BW,082265009055,"Neckarbischofsheim, Stadt",4128
SL,100410515515,"Püttlingen, Stadt",18390
SH,010605048084,Stuvenborn,826
BW,081190044044,"Murrhardt, Stadt",14360
BW,083275005048,Talheim (Landkreis Tuttlingen),1274
RP,072325001248,Kickeshausen,45
RP,072325005089,Niedergeckler,49
TH,160665014081,Vachdorf,778
NI,034570020020,Uplengen,11907
NI,031585407017,Hedeper,470
NI,033575406045,Sottrum,6259
BY,092740120120,Bodenkirchen,5334
RP,071435001248,Kirburg,591
RP,073355010025,Mehlbach,1106
NI,034545408049,Spelle,9702
RP,071385005040,Linkenbach,526
HE,066360006006,"Hessisch Lichtenau, Stadt",12132
BY,091870113113,Amerang,3634
RP,071435007066,Schenkelberg,651
SH,010560002002,"Barmstedt, Stadt",10282
NI,034545401025,Kluse,1758
RP,071435002241,Höchstenbach,718
BY,091865158144,Pörnbach,2148
BY,093770139139,"Mähring, M",1820
NI,033595409016,Estorf (Landkreis Stade),1462
BW,084175006057,"Schömberg, Stadt",4647
RP,072335006076,Üxheim,1349
RP,072325008228,Gransdorf,319
MV,130755563041,Groß Kiesow,1217
TH,160745007029,Großbockedra,164
BW,083365006080,Schönenberg,336
BY,095775536179,Westheim,1171
BY,097790196196,Oberndorf a.Lech,2561
BW,081150041041,"Renningen, Stadt",18443
SL,100420117117,Weiskirchen,6606
BB,120715107193,Jänschwalde,1589
BB,120665607124,Hermsdorf,748
SN,145240330330,"Zwickau, Stadt",87020
MV,130735359101,Wiek,988
RP,072335006219,Kerschenbach,198
BY,096745612111,Aidhausen,1642
NI,034575403006,"Detern, Flecken",2758
BB,120615114164,"Golßen, Stadt",2459
MV,130755557069,Kröslin,1813
NI,033575408013,Elsdorf,1999
BB,120605003161,Melchow,1022
SN,146260420420,"Ostritz, Stadt",2219
BW,083370002002,Albbruck,7305
HE,064330009009,Nauheim,10443
RP,071405003095,Michelbach,197
BY,091775124134,Ottenhofen,1925
TH,160615008033,Fretterode,178
NI,033595409029,Kranenburg,750
SH,010605053041,Högersdorf,399
NI,032565410032,Stolzenau,7000
BW,081160015015,Denkendorf (Landkreis Esslingen),11001
ST,150875051250,"Kelbra (Kyffhäuser), Stadt",3294
BY,095770136136,"Gunzenhausen, St",16457
TH,160630078078,Unterbreizbach,3322
HE,064400017017,"Niddatal, Stadt",9883
TH,160695002016,Grimmelshausen,169
HE,066330010010,"Grebenstein, Stadt",5390
NW,057580036036,"Vlotho, Stadt",18625
HE,066330006006,Bad Emstal,5658
RP,073335007061,Ransweiler,237
HE,064400021021,"Reichelsheim (Wetterau), Stadt",6844
HE,065340002002,Angelburg,3443
RP,072335004216,Horperath,128
BY,093720117117,Chamerau,2519
SH,010565660017,Groß Offenseth-Aspern,456
RP,071345002094,Wilzenberg-Hußweiler,293
BB,120715107060,Drehnow,506
SH,010575755088,Wisch (Kreis Plön),666
BY,094775437159,Untersteinach,1765
SH,010515175074,"Meldorf, Stadt",7180
RP,073375005065,Ranschbach,626
BW,083175013145,"Wolfach, Stadt",5607
NI,033555406026,Neetze,2648
MV,130715155099,"Mirow, Stadt",3842
NI,034545409055,Vrees,1951
RP,071405004111,Ober Kostenz,259
BW,083255006057,"Sulz am Neckar, Stadt",12671
RP,071355003034,Gevenich,710
SH,010585847029,Breiholz,1327
NW,051660024024,Schwalmtal (Kreis Viersen),18658
BY,097720207207,"Thierhaupten, M",4054
RP,073375002008,Birkenhördt,661
MV,130735353063,Parchtitz,740
RP,071400501501,"Boppard, Stadt",15769
BW,084255010090,Obermarchtal,1329
RP,071325010088,Orfgen,233
RP,071335011087,Rümmelsheim,1423
BW,081165007037,Lichtenwald,2559
BB,120710057057,"Drebkau, Stadt",5424
SH,010605086020,Fahrenkrug,1542
TH,160685006041,Ostramondra,472
MV,130755559033,Ferdinandshof,2604
NI,034525401024,Upgant-Schott,3622
BY,094715401175,Reckendorf,1987
BY,091870179179,Tuntenhausen,6996
SN,146265242590,Weißkeißel,1201
RP,071375002086,Ochtendung,5371
RP,071415003062,Horhausen,316
RP,073395001038,Münster-Sarmsheim,2963
BY,094775436117,"Grafengehaig, M",816
HE,064350011011,Großkrotzenburg,7297
BY,094735418153,Niederfüllbach,1419
BY,096790134134,Gaukönigshofen,2444
BY,096765626143,Neunkirchen (Landkreis Miltenberg),1475
SH,010575739089,Wittmoldt,164
NI,031550007007,Katlenburg-Lindau,6759
RP,071435004053,Niederelbert,1738
RP,071375001057,Kruft,4621
HE,064350017017,"Langenselbold, Stadt",14297
RP,071405004135,Schlierschied,170
SH,010545488160,Wittdün auf Amrum,814
RP,071345005091,Weiden,84
SN,146250030030,"Bernsdorf, Stadt",6281
BW,084265006135,Gutenzell-Hürbel,1835
RP,071405009089,Maisborn,128
RP,072325008071,Kyllburgweiler,97
BY,092735218119,Biburg,1397
HE,064350026026,Schöneck,11577
TH,160765004017,Endschütz,324
BY,094720139139,"Gefrees, St",4233
BY,093745324156,Schwarzenbach,1151
BY,093760116116,Bodenwöhr,4149
BY,094770148148,"Presseck, M",1743
TH,160755013069,Moxa,81
RP,072325005037,Ferschweiler,1031
SH,010545494006,Almdorf,544
BW,083365009103,"Zell im Wiesental, Stadt",6206
NI,033535405030,Salzhausen,4823
SH,010585895077,Hohenwestedt,5368
SH,010515172113,Wöhrden,1165
RP,071375009207,Dieblich,2598
BW,084255008072,"Langenau, Stadt",15005
SH,010535358117,Seedorf (Kreis Herzogtum Lauenburg),595
RP,073315005072,Wöllstein,4413
BY,091815139131,Obermeitingen,1772
SN,145240070070,Gersdorf,3793
BY,091870137137,Großkarolinenfeld,7323
MV,130030000000,"Rostock, Hanse- und Universitätsstadt",203470
SN,146250310310,"Lauta, Stadt",7961
NI,033570041041,Scheeßel,12734
HE,064350002002,"Bad Soden-Salmünster, Stadt",13364
MV,130725259008,Bastorf,1118
RP,071375002501,"Münstermaifeld, Stadt",3429
BB,120625209134,Fichtwald,597
RP,072355008025,Fisch,417
BB,120610217217,Heidesee,7275
BW,081185001028,Hessigheim,2482
MV,130715153109,"Neukalen, Peenestadt",1671
SH,010565616046,Seeth-Ekholt,938
RP,072315006078,Lückenburg,94
TH,160615012067,Lutter,713
BY,097795723231,Wolferstadt,1090
RP,071355002014,Brieden,143
NI,032555401021,Holenberg,402
BY,093775351159,"Wiesau, M",4029
RP,073375003015,Burrweiler,808
BW,083355002026,Gailingen am Hochrhein,2866
RP,072335001063,Schalkenmehren,611
BB,120720240240,"Ludwigsfelde, Stadt",27667
SH,010515169065,Lehe (Kreis Dithmarschen),1092
SN,146265237120,Groß Düben,1055
BW,083265003060,"Triberg im Schwarzwald, Stadt",4412
RP,073365010018,Ehweiler,171
BY,094725412115,Aufseß,1305
BB,120675708458,Siehdichum,1493
ST,150850110110,"Falkenstein/Harz, Stadt",5061
RP,071415010044,Frücht,577
SN,145210400400,Mildenau,3417
BY,091710132132,"Töging a.Inn, St",9294
RP,071355001082,Treis-Karden,2123
MV,130715156058,Grünow,307
RP,071405009063,Karbach,641
RP,072355004046,Hinzenburg,131
BY,091820137137,Weyarn,3828
BW,083365008073,Rümmingen,1937
NI,033520032032,Loxstedt,15909
TH,160755011029,Geroda,236
BY,093760149149,"Nittenau, St",8886
SH,010515169052,Hövede,64
BY,092720149149,Spiegelau,3733
BB,120645404009,Alt Tucheband,777
MV,130755557081,Loissin,786
SH,010555546006,Beschendorf,580
NI,033570008008,"Bremervörde, Stadt",18256
NW,053740036036,"Radevormwald, Stadt auf der Höhe",21547
MV,130765662120,Rom,791
HE,066350010010,"Frankenau, Nationalparkstadt",2809
BB,120645414417,Reichenow-Möglin,544
SN,145220580580,Wechselburg,1763
BY,092750156156,"Wegscheid, M",5326
RP,073395007018,Friesenheim (Landkreis Mainz-Bingen),700
BY,095755519130,Hemmersheim,629
BY,091870122122,"Bruckmühl, M",16440
BY,094720190190,Speichersdorf,5728
HE,066320009009,"Heringen (Werra), Stadt",6880
BY,095775532111,"Absberg, M",1395
RP,071345002048,Kronweiler,311
BB,120625205333,Massen-Niederlausitz,1854
MV,130715154093,"Malchow, Inselstadt",6081
NW,055540060060,Südlohn,9632
HE,066320018018,"Rotenburg a. d. Fulda, Stadt",12981
BW,084255008085,Nerenstetten,356
BW,082255005117,Elztal,5836
SN,145235122080,Eichigt,1104
BY,097775755175,"Unterthingau, M",2834
RP,071315001074,Schuld,607
RP,071335009043,Hennweiler,1227
NI,032565408004,"Diepenau, Flecken",3848
BW,084355004054,Stetten (Landkreis Bodenseekreis),966
TH,160675054013,Emleben,712
NI,033595406033,Neuenkirchen (Landkreis Stade),839
RP,073355009024,Mackenbach,2052
SH,010535343111,Schnakenbek,912
BB,120675708205,Grunow-Dammendorf,491
BY,092770134134,Mitterskirchen,2179
SN,145235125150,Heinsdorfergrund,1917
RP,071405004028,Dickenschied,721
BY,094770142142,Neudrossenfeld,3777
RP,071375008222,Sankt Sebastian,2727
NI,033555407019,Hohnstorf (Elbe),2315
NI,033595406020,Grünendeich,1827
RP,072335006241,Steffeln,637
BY,096735638183,Wollbach,1399
HE,065340017017,"Rauschenberg, Stadt",4316
SH,010565616033,Seester,1037
SN,146270080080,Käbschütztal,2767
BY,091870131131,Flintsbach a.Inn,2908
BY,091835148124,"Kraiburg a.Inn, M",4023
BY,093725313149,Reichenbach (Landkreis Cham),1297
BB,120630252252,"Rathenow, Stadt",24416
RP,071435002257,Limbach (Landkreis Westerwaldkreis),405
RP,073375003028,Gleisweiler,618
SH,010595940184,Oeversee,3489
NI,034620019019,"Wittmund, Stadt",19979
BW,081255004047,Ittlingen,2619
BW,083355003055,Moos (Landkreis Konstanz),3410
RP,071415007019,Buch (Landkreis Rhein-Lahn-Kreis),618
BY,092715206114,Außernzell,1468
SH,010535323012,Börnsen,4773
SN,146285202230,"Liebstadt, Stadt",1233
NW,059780028028,"Schwerte, Hansestadt an der Ruhr",45954
SH,010545494019,"Bredstedt, Stadt",5608
TH,160755005054,Langenorla,1225
RP,071405008101,Neuerkirch,322
MV,130735362081,Schaprode,421
MV,130735352043,Kenz-Küstrow,517
RP,071435004079,Welschneudorf,974
RP,071355005039,Haserich,191
SN,146270360360,Zeithain,5472
TH,160745014093,St.Gangloff,1179
RP,073325002008,Dackenheim,462
RP,071325009073,Nauroth,1211
NW,059620032032,"Lüdenscheid, Stadt",71688
BW,082155003103,Karlsdorf-Neuthard,10691
SH,010625218005,Bargfeld-Stegen,3008
MV,130765668117,Raben Steinfeld,1079
RP,072355003146,Wellen,812
BY,091905178117,Böbing,1866
NI,034525403016,Lütetsburg,716
RP,071435008263,Meudt,1916
BW,084355003034,"Markdorf, Stadt",14318
RP,072325006271,Mützenich,123
BY,094740126126,"Forchheim, GKSt",32041
RP,073315001031,Gau-Heppenheim,557
BY,095755520181,Wilhelmsdorf (LK Neustadt a.d.Aisch-Bad Windsheim),1473
SN,145220035035,Bobritzsch-Hilbersdorf,5658
BB,120630357357,Wustermark,10429
MV,130735359030,Glowe,923
MV,130765667039,Gallin,568
SH,010515175027,Elpersbüttel,851
SH,010555543043,Wangels,2169
NW,055540012012,"Borken, Stadt",42443
RP,071415009042,Filsen,638
BW,084265007097,"Riedlingen, Stadt",10794
BY,094725414155,Hummeltal,2353
MV,130765655151,Werder (Landkreis Ludwigslust-Parchim),334
NI,031570009009,Ilsede,21637
MV,130765667159,"Zarrentin am Schaalsee, Stadt",5299
NI,033605407006,"Ebstorf, Klosterflecken",5316
NI,034625402009,Nenndorf,755
BW,083255005024,Hardt (Landkreis Rottweil),2458
BW,081255004034,Gemmingen,5466
TH,160685050061,Witterda,1055
RP,073405008218,Mauschbach,295
BW,083375007032,Dogern,2255
RP,071315004059,Oberdürenbach,667
SH,010620018018,"Glinde, Stadt",18295
BW,084255002017,Berghülen,1956
MV,130765664062,Hohen Pritz,358
RP,073375005007,Billigheim-Ingenheim,3867
ST,150820241241,Muldestausee,11625
TH,160675012033,Großfahner,848
BY,096795652161,Margetshöchheim,3128
SH,010615189080,Oeschebüttel,172
SH,010515178132,Westerdeichstrich,797
TH,160685009062,Wundersleben,637
SH,010585888140,Schacht-Audorf,4813
RP,073405002020,Hinterweidenthal,1504
MV,130755556012,Blankensee (Landkreis Vorpommern-Greifswald),560
BB,120520000000,"Cottbus, Stadt",93926
BW,081175003037,Ottenbach,2410
MV,130735360093,"Tribsees, Stadt",2531
TH,160765008058,Pölzig,1069
MV,130745457090,Zurow,1288
BY,094790150150,"Schönwald, St",3109
RP,073315007015,Dittelsheim-Heßloch,2109
RP,073375001001,Albersweiler,1980
BW,082365001019,Friolzheim,3966
BB,120665606168,Kroppen,721
MV,130715162127,Rosenow,968
BY,091890124124,Inzell,4305
RP,072355003133,Temmels,799
BY,091850168168,Weichering,2438
ST,150835053505,Ummendorf (Landkreis Börde),926
BY,097780116116,"Bad Wörishofen, St",15798
BW,084375006008,Bingen,2714
BW,083375008123,Wutöschingen,6679
NI,033590010010,"Buxtehude, Hansestadt",39950
BY,097770159159,Pfronten,7716
SH,010595940171,Tarp,5918
BW,083275004002,Aldingen,7660
BY,093775349115,Ebnath,1297
NW,059580044044,"Sundern (Sauerland), Stadt",27677
RP,071355001020,"Cochem, Stadt",5003
BY,096755619169,Sommerach,1459
BY,091840139139,Pullach i.Isartal,8667
MV,130765663166,Ganzlin,1384
BY,096710133133,Johannesberg,4070
NW,057620024024,"Marienmünster, Stadt",4802
RP,072325008036,Feilsdorf,29
BW,081165006004,Altbach,6052
RP,071335010005,Auen,191
BB,120670120120,"Eisenhüttenstadt, Stadt",23608
HE,065310001001,"Allendorf (Lumda), Stadt",3774
RP,073325007030,Kirchheim an der Weinstraße,1900
BY,091730134134,Königsdorf,3114
SH,010515175134,Windbergen,773
SH,010605005027,Großenaspe,2976
SH,010615189103,Störkathen,85
NI,033605407019,Schwienau,673
RP,072325001298,Reipeldingen,77
BW,084255009008,Amstetten,4128
SN,146250590590,Steinigtwolmsdorf,2666
BY,091900144144,Raisting,2344
BB,120610572572,Zeuthen,11378
MV,130765658065,Hülseburg,155
SN,146285229070,Dohma,2010
RP,073385001006,Dannstadt-Schauernheim,7533
RP,072325006307,Seiwerath,133
SH,010585853075,Hörsten,55
NW,059620056056,Schalksmühle,10469
RP,071325007037,Friesenhagen,1599
BB,120695904216,Golzow (Landkreis Potsdam-Mittelmark),1382
BW,083175006126,Seebach (Landkreis Ortenaukreis),1441
SH,010515163032,Frestedt,337
NI,034525403003,Berumbur,2619
BW,082265009017,Epfenbach,2400
RP,071355005013,Briedel,898
SH,010575785071,Schillsdorf,850
RP,073375003002,Altdorf (Landkreis Südliche Weinstraße),935
RP,071405004050,Henau,165
BY,094795444161,Tröstau,2101
SH,010535391069,Koberg,791
RP,072325006284,Oberlauch,73
SH,010575727082,Tröndel,363
SN,146255223360,Neschwitz,2420
RP,073315001044,Mauchenheim,965
SH,010585890123,Osterby (Kreis Rendsburg-Eckernförde),987
TH,160615014113,Schimberg,2162
RP,073365009016,Dittweiler,853
BW,083155006008,Ballrechten-Dottingen,2412
TH,160615006017,Breitenworbis,3156
SH,010585864049,Emkendorf,1311
TH,160610118118,"Dingelstädt, Stadt",6853
MV,130765665154,Wittenförden,2432
RP,071435007029,Herschbach,2817
BY,096785642157,Michelau i.Steigerwald,1160
BB,120600269269,Wandlitz,23951
ST,150845051246,Kaiserpfalz,1701
BW,084150093093,St. Johann,5132
SH,010515175001,Albersdorf (Kreis Dithmarschen),3717
BY,091905174111,Altenstadt (Landkreis Weilheim-Schongau),3284
BY,094770157157,"Thurnau, M",4095
BB,120625202219,Heideland (Landkreis Elbe-Elster),479
NI,032515404021,Kirchdorf (Landkreis Diepholz),2194
NI,032540022022,Holle,6674
BY,095715507132,"Dentlein a.Forst, M",2310
RP,071345002022,Elchweiler,102
SH,010605086059,Negernbötel,981
BW,081365003019,"Ellwangen (Jagst), Stadt",24614
SH,010615189093,Rosdorf (Kreis Steinburg),365
ST,150835051361,Loitsche-Heinrichsberg,935
BY,095710139139,"Dürrwangen, M",2574
BW,083275001016,"Fridingen an der Donau, Stadt",3154
SH,010545417063,Katharinenheerd,157
MV,130725253108,Thulendorf,661
SH,010615189116,Wrist,2349
BW,082155003009,"Bruchsal, Stadt",46780
SH,010595912128,Janneby,409
RP,071435006285,Rehe,1006
NI,034540054054,Twist,9689
BY,096755616148,"Markt Einersheim, M",1207
SN,146265242600,"Weißwasser/O.L., Stadt",15348
BY,091880121121,Gilching,18987
BY,093760125125,Fensterbach,2386
RP,073315007028,Frettenheim,317
BY,091865156116,Ernsgaden,1698
TH,160735012074,Rohrbach (Landkreis Saalfeld-Rudolstadt),180
RP,071435005038,Hundsdorf,474
RP,073345003012,Jockgrim,7434
SH,010605024087,Tensfeld,703
HE,066340020020,Ottrau,2197
RP,071405008056,Holzbach,551
RP,073405003205,Bottenbach,732
RP,071325010027,Ersfeld,75
BW,083375003053,Hohentengen am Hochrhein,3715
HE,064360007007,"Hofheim am Taunus, Kreisstadt",39004
SH,010535358033,Giesensdorf,175
MV,130725262118,Zarnewanz,460
SH,010605063068,Rickling,3119
MV,130755562010,Benz (Landkreis Vorpommern-Greifswald),1074
TH,160665005024,Frankenheim/Rhön,1057
RP,071325008008,Birken-Honigsessen,2514
BB,120635306165,Kotzen,667
BY,096780192192,Wasserlosen,3403
SH,010545417148,Welt,191
RP,071415010008,Becheln,662
BY,091835183126,Maitenbeth,1993
NI,034610005005,Jade,5849
RP,071345002084,Siesbach,368
BW,084365003079,Waldburg,3260
RP,073405001039,Rumbach,399
BB,120720312312,Nuthe-Urstromtal,6359
RP,071385005050,Niederwambach,455
TH,160665014045,Neubrunn,505
RP,072315001040,Gornhausen,195
NI,031585403023,Ohrum,598
ST,150910010010,"Annaburg, Stadt",6521
SH,010585847078,Hohn,2471
BY,096780168168,Poppenhausen,4384
MV,130715157111,Neverin,1027
NW,051540044044,"Rees, Stadt",21647
MV,130755551074,"Lassan, Stadt",1268
BY,095725514154,Spardorf,2209
NW,055120000000,"Bottrop, Stadt",117921
RP,073335004062,Rittersheim,188
RP,071345005030,Gösenroth,242
RP,071435004005,Boden,620
BB,120645404057,Bleyen-Genschmar,403
RP,071335011025,Dörrebach,722
TH,160755005006,Bodelwitz,569
BY,095715501188,Ohrenbach,582
SH,010545489131,Süderlügum,2373
SH,010615179007,Beidenfleth,844
NW,053580016016,Hürtgenwald,8993
RP,071415003133,Wasenbach,296
BW,084355004018,Hagnau am Bodensee,1433
SH,010550010010,Dahme,1244
RP,071335009008,Bärenbach,488
ST,150845051282,Lanitz-Hassel-Tal,1047
RP,072325001297,Reiff,56
RP,071435006272,Neustadt/ Westerwald,587
RP,073395002006,Bodenheim,7666
SN,146270200200,Priestewitz,3133
TH,160735054001,Allendorf (Landkreis Saalfeld-Rudolstadt),329
ST,150875051440,Wallhausen (Landkreis Mansfeld-Südharz),2412
BY,091720131131,Schneizlreuth,1362
BY,097790185185,Möttingen,2596
TH,160745015051,Lehesten,679
BY,095775532172,Theilenhofen,1130
BY,097775751182,Westendorf (Landkreis Ostallgäu),1864
MV,130765658110,Pätow-Steegen,408
HE,064390012012,"Oestrich-Winkel, Stadt",11460
BY,096745611130,"Ebern, St",7180
NI,034565404008,Halle (Landkreis Grafschaft Bentheim),683
BY,095740146146,Ottensoos,1974
RP,072315008053,Hetzerath,2463
NI,031595404023,Landolfshausen,1111
HE,066340011011,Knüllwald,4412
BW,081165005049,"Nürtingen, Stadt",40212
BW,084250108108,"Schelklingen, Stadt",6644
MV,130755551087,Lütow,408
RP,072335004048,Neichen,135
BY,091880127127,Krailling,7874
BW,082355007020,Ebhausen,4782
BY,091830112112,Ampfing,6932
RP,073365010079,Rammelsbach,1452
TH,160625053064,"Heringen/Helme, Stadt",4668
NI,031585402004,Burgdorf,2096
BY,097775748145,Lamerdingen,2167
SH,010575755063,Probsteierhagen,2319
RP,073325006022,Gönnheim,1619
BY,096780135135,Gochsheim,6098
NI,034545407005,Börger,2888
MV,130725262105,"Tessin, Blumenstadt",4032
SN,146260300300,Markersdorf,3774
TH,160665014058,Rohr (Landkreis Schmalkalden-Meiningen),923
NI,033595409019,Großenwörden,472
BB,120635309112,Großderschau,436
MV,130755559118,Rothemühl,295
BY,096795654118,Bieberehren,859
NW,055580024024,"Lüdinghausen, Stadt",24770
BW,083175010122,Schutterwald,7200
BY,091755114121,"Glonn, M",5010
MV,130725258049,Jördenstorf,1007
HE,066310006006,Eichenzell,11689
RP,071315004211,Weibern,1536
RP,071335006048,Hüffelsheim,1262
BY,096745613180,Theres,2670
RP,073325005016,Esthal,1344
BW,082155002025,Gondelsheim,4103
RP,073365010066,Neunkirchen am Potzberg,411
BY,091750127127,"Markt Schwaben, M",13721
SN,146265232240,Königshain,1137
RP,072315006123,Thalfang,1896
BY,096760118118,Dorfprozelten,1731
SH,010615138082,Oldendorf (Kreis Steinburg),1080
BW,084375001031,"Gammertingen, Stadt",6212
RP,071345005043,Horbruch,359
RP,072355003132,Tawern,2658
RP,071325009025,Elkenroth,1853
SN,146270270270,"Strehla, Stadt",3643
SH,010515166057,Kaiser-Wilhelm-Koog,356
NI,033575407052,Vorwerk,1013
BY,092710113113,Auerbach (Landkreis Deggendorf),2155
TH,160635006028,Frankenroda,317
BY,091810132132,Penzing,3835
BB,120735305404,Mittenwalde,408
SL,100430114114,"Neunkirchen, Kreisstadt",46906
BW,084265001078,Moosburg,226
BW,082265001081,Schönbrunn,2888
MV,130715163120,Pripsleben,236
NI,034595401025,Menslage,2341
NI,033555404020,Kirchgellersen,2379
RP,072335004213,Gunderath,108
BY,092790127127,Mengkofen,5992
SH,010545488005,Alkersum,392
NI,033545407013,Küsten,1328
BW,081185008068,Sersheim,5359
BW,083155003084,Oberried,2849
BY,091835183139,Rechtmehring,2048
RP,072325005073,Leimbach (Landkreis Eifelkreis Bitburg-Prüm),47
RP,071345005056,Mörschied,764
RP,071435009209,Berzhahn,485
SN,146265502580,Waldhufen,2345
TH,160665013025,Friedelshausen,291
NI,034600002002,"Damme, Stadt",17352
NI,033560005005,Lilienthal,19893
RP,071415010128,Seelbach,452
BY,095710196196,Sachsen b.Ansbach,3650
BY,097740119119,Bibertal,4890
SN,146285219210,"Königstein/Sächs. Schw., Stadt",2089
BW,082265007029,Heiligkreuzsteinach,2646
NW,051540020020,Issum,12232
BW,083350035035,Hilzingen,8981
SN,146250150150,Göda,2975
NI,031515404006,Calberlah,5227
RP,072315009072,Kröv,2163
RP,072325007123,"Speicher, Stadt",3533
MV,130745452043,Krembz,884
TH,160685012052,Sprötau,809
BY,094715403189,Stadelhofen,1238
BY,095740155155,"Schnaittach, M",8416
ST,150870031031,"Arnstein, Stadt",6294
BY,093770154154,"Tirschenreuth, St",8684
RP,072315001066,Kesten,330
BY,096755615177,Wiesenbronn,1059
BY,097800115115,Blaichach,5418
MV,130715161026,Cölpin,851
BW,084250141141,"Blaustein, Stadt",16310
NI,031515406034,Vordorf,3073
NI,034590015015,"Dissen am Teutoburger Wald, Stadt",10254
MV,130715164083,Kublank,149
BY,097735718116,Binswangen,1326
ST,150905052485,Schollene,1097
NI,033535406015,Handeloh,2447
NI,032555409018,Heinade,778
BY,095725514141,Marloffstein,1556
NW,051580026026,"Monheim am Rhein, Stadt",42188
BW,081255002006,"Bad Rappenau, Stadt",22333
RP,073405009224,Schmitshausen,395
BY,092710146146,"Plattling, St",12962
SN,146265228410,Oppach,2253
TH,160745052055,Mertendorf (Landkreis Saale-Holzland-Kreis),143
RP,073405006012,Geiselberg,767
MV,130755556038,Grambow (Landkreis Vorpommern-Greifswald),864
RP,073355009501,Reichenbach-Steegen,1422
NI,034520013013,"Juist, Inselgemeinde",1186
SL,100440117117,Schmelz,16875
SH,010585864023,Borgdorf-Seedorf,454
RP,072325005011,Berkoth,79
HE,064380009009,"Neu-Isenburg, Stadt",36531
BY,092775243148,"Tann, M",3772
BY,095745528111,Alfeld,1099
RP,072335006240,Stadtkyll,1522
BW,083360014014,Efringen-Kirchen,8598
NI,033545407026,"Wustrow (Wendland), Stadt",2616
RP,073395007066,Wintersheim,278
BB,120670481481,"Storkow (Mark), Stadt",9074
SN,145220020020,"Augustusburg, Stadt",4495
BY,091860158158,"Vohburg a.d.Donau, St",8630
RP,071385009030,Hümmerich,790
RP,072325006222,Feuerscheid,317
BW,082365002074,Kämpfelbach,6221
BY,096735633170,Stockheim (Landkreis Rhön-Grabfeld),993
RP,073395006047,Ober-Olm,4527
SH,010605043073,Schmalfeld,1874
HE,064400019019,"Ortenberg, Stadt",8606
RP,072335004226,Mosbruch,159
TH,160755013101,Schmorda,85
SH,010535318092,Müssen,1233
MV,130715159176,Südmüritz,789
BY,095760148148,"Thalmässing, M",5245
NI,031540019019,"Schöningen, Stadt",11196
TH,160655056016,Etzleben,261
BY,097725710160,Kleinaitingen,1356
BW,081155005053,Jettingen,7981
SH,010615138047,Kaaks,429
RP,071345005069,Rhaunen,2288
MV,130725252053,Klein Belitz,828
BY,097790178178,Marxheim,2596
SN,145230010010,"Adorf/Vogtl., Stadt",4686
BW,083365006094,Wembach,332
BY,097785762136,"Erkheim, M",3106
SH,010595952179,Lindewitt,2008
SH,010545489086,Neukirchen (Kreis Nordfriesland),1129
SH,010620009009,Barsbüttel,13152
RP,071435006237,Hellenhahn-Schellenberg,1251
NW,057700024024,"Minden, Stadt",83743
BB,120675708324,Mixdorf,924
RP,072325005131,Wallendorf,393
BW,082355007046,"Nagold, Stadt",23221
NI,031590004004,"Bad Sachsa, Stadt",7130
NI,033575405029,Kalbe,611
NI,032565411019,"Liebenau, Flecken",3677
RP,071415011050,Gutenacker,353
SH,010615138034,Heiligenstedten,1475
BY,091775126112,Berglern,2916
BW,083255007060,Villingendorf,3349
NI,034030000000,"Oldenburg (Oldenburg), Stadt",172759
RP,073355010035,"Otterberg, Stadt",5339
RP,071415009114,Reichenberg,158
BY,091780143143,"Moosburg a.d.Isar, St",19505
TH,160645054058,Schönstedt,1312
MV,130735360032,Grammendorf,526
SH,010535318115,Schulendorf,452
SH,010615134041,Hohenfelde (Kreis Steinburg),887
NI,034570002002,"Borkum, Stadt",4468
BW,082365004040,"Mühlacker, Stadt",26420
