country,country_name,year,party,rank,vote_share,seat_share,share_diff,seats,seats_total,elec_sys
JAM,Jamaica,1980,PNP,Top 2,42.3,13.3,-29,8,60,First-past-post
JAM,Jamaica,1983,JLP,Top 1,100,100,0,60,60,First-past-post
JAM,Jamaica,1989,PNP,Top 1,55.8,73.3,17.5,44,60,First-past-post
JAM,Jamaica,1989,JLP,Top 2,44.1,26.7,-17.4,16,60,First-past-post
JAM,Jamaica,1993,PNP,Top 1,60.6,86.7,26.1,52,60,First-past-post
JAM,Jamaica,1993,JLP,Top 2,39.4,13.3,-26.1,8,60,First-past-post
JAM,Jamaica,1997,PNP,Top 1,55,83.3,28.3,50,60,First-past-post
JAM,Jamaica,1997,JLP,Top 2,40,16.7,-23.3,10,60,First-past-post
JAM,Jamaica,2002,PNP,Top 1,52.4,56.7,4.3,34,60,First-past-post
JAM,Jamaica,2002,JLP,Top 2,47,43.3,-3.7,26,60,First-past-post
JAM,Jamaica,2007,JLP,Top 1,50.1,53.3,3.2,32,60,First-past-post
JAM,Jamaica,2007,PNP,Top 2,49.8,46.7,-3.1,28,60,First-past-post
JAM,Jamaica,2011,PNP,Top 1,53,66.7,13.7,42,63,First-past-post
JAM,Jamaica,2011,JLP,Top 2,46.3,33.3,-13,21,63,First-past-post
JAM,Jamaica,2016,JLP,Top 1,50.1,50.8,0.7,32,63,First-past-post
JAM,Jamaica,2016,PNP,Top 2,49.7,49.2,-0.5,31,63,First-past-post
KEN,Kenya,2007,ODM,Top 1,30.8,47.1,16.3,99,210,First-past-post
KEN,Kenya,2007,PNU,Top 2,20.9,20.5,-0.4,43,210,First-past-post
LBR,Liberia,2011,UP,Top 1,17.8,32.9,15.1,24,73,First-past-post
LBR,Liberia,2011,CDC,Top 2,12.8,15.1,2.3,11,73,First-past-post
LBR,Liberia,2017,Coalition fo...,Top 1,15.6,28.8,13.2,21,73,First-past-post
LBR,Liberia,2017,UP,Top 2,14,26,12,19,73,First-past-post
LKA,Sri Lanka,1952,UNP,Top 1,44.1,56.8,12.7,54,95,First-past-post
LKA,Sri Lanka,1952,indep,Top 2,14,12.6,-1.4,12,95,First-past-post
LKA,Sri Lanka,1956,MEP,Top 1,39.5,53.7,14.2,51,95,First-past-post
LKA,Sri Lanka,1956,LSS,Top 2,10.4,14.7,4.3,14,95,First-past-post
LKA,Sri Lanka,1960,SLFP,Top 1,33.6,49.7,16.1,75,151,First-past-post
LKA,Sri Lanka,1960,UNP,Top 2,37.6,19.9,-17.7,30,151,First-past-post
LKA,Sri Lanka,1965,UNP,Top 1,39.3,43.7,4.4,66,151,First-past-post
LKA,Sri Lanka,1965,SLFP,Top 2,30.2,27.2,-3,41,151,First-past-post
LKA,Sri Lanka,1970,SLFP,Top 1,36.9,60.3,23.4,91,151,First-past-post
LKA,Sri Lanka,1970,LSS,Top 2,8.7,12.6,3.9,19,151,First-past-post
LKA,Sri Lanka,1977,UNP,Top 1,50.9,83.3,32.4,140,168,First-past-post
LKA,Sri Lanka,1977,TULF,Top 2,6.8,10.7,3.9,18,168,First-past-post
LSO,Lesotho,1993,BCP,Top 1,74.8,100,25.2,65,65,First-past-post
LSO,Lesotho,1993,BNP,Top 2,22.6,0,-22.6,0,65,First-past-post
LTU,Lithuania,1920,LKDP,Top 1,35.2,21.4,-13.8,24,112,Two-round
LTU,Lithuania,1920,VS,Top 2,17,17,0,19,112,Two-round
MDA,Moldova,1994,PDAM,Top 1,43.2,53.8,10.6,56,104,Two-round
MDA,Moldova,1994,Electoral Bl...,Top 2,22,26.9,4.9,28,104,Two-round
MDV,Maldives,2009,DRP,Top 1,24.6,36.4,11.8,28,77,First-past-post
MDV,Maldives,2009,MDP,Top 2,30.8,33.8,3,26,77,First-past-post
MDV,Maldives,2014,PPM,Top 1,27.7,38.8,11.1,33,85,First-past-post
MDV,Maldives,2014,MDP,Top 2,40.8,30.6,-10.2,26,85,First-past-post
MDV,Maldives,2019,MDP,Top 1,45.8,74.7,28.9,65,87,First-past-post
MDV,Maldives,2019,PPM - PNC,Top 2,16,9.2,-6.8,8,87,First-past-post
MLI,Mali,1992,ADEMA-PASJ,Top 1,48.4,58.9,10.5,76,129,Two-round
MLI,Mali,1992,CNID,Top 2,5.6,7,1.4,9,129,Two-round
MLI,Mali,1997,ADEMA-PASJ,Top 1,62.8,87.1,24.3,128,147,Two-round
MLI,Mali,1997,PARENA,Top 2,7.1,5.4,-1.7,8,147,Two-round
MNG,Mongolia,1996,MAN,Top 2,39,32.9,-6.1,25,76,Two-round
MNG,Mongolia,2004,MAN,Top 1,48.2,47.4,-0.8,36,76,Two-round
MNG,Mongolia,2016,MAN,Top 1,45.9,85.5,39.6,65,76,First-past-post
MNG,Mongolia,2016,AN,Top 2,33.7,11.8,-21.9,9,76,First-past-post
MWI,Malawi,1999,UDF,Top 1,47.3,48.2,0.9,93,193,First-past-post
MWI,Malawi,1999,MCP,Top 2,33.8,34.2,0.4,66,193,First-past-post
MWI,Malawi,2004,MCP,Top 1,24.9,29.5,4.6,57,193,First-past-post
MWI,Malawi,2004,UDF,Top 2,25.3,25.4,0.1,49,193,First-past-post
NGA,Nigeria,2003,PDP,Top 1,54.5,61.9,7.4,223,360,First-past-post
NGA,Nigeria,2003,ANPP,Top 2,27.4,26.7,-0.7,96,360,First-past-post
NLD,Netherlands,1901,AB/RSKP,Top 1,15.7,25,9.3,25,100,Two-round
NLD,Netherlands,1901,ARP,Top 2,27.4,22,-5.4,22,100,Two-round
NLD,Netherlands,1905,AB/RSKP,Top 1,13.1,25,11.9,25,100,Two-round
NLD,Netherlands,1905,LU,Top 2,20,25,5,25,100,Two-round
NLD,Netherlands,1909,AB/RSKP,Top 1,12.8,25,12.2,25,100,Two-round
NLD,Netherlands,1909,ARP,Top 2,27.9,25,-2.9,25,100,Two-round
NLD,Netherlands,1913,AB/RSKP,Top 1,14.5,25,10.5,25,100,Two-round
NLD,Netherlands,1913,LU,Top 2,16.7,22,5.3,22,100,Two-round
NOR,Norway,1903,V,Top 1,42.7,41,-1.7,48,117,Two-round
NOR,Norway,1906,V,Top 1,45.1,59.3,14.2,73,123,Two-round
NOR,Norway,1906,H,Top 2,32.8,29.3,-3.5,36,123,Two-round
NOR,Norway,1909,H & FV,Top 1,41.5,52,10.5,64,123,Two-round
NOR,Norway,1909,V,Top 2,30.4,37.4,7,46,123,Two-round
NOR,Norway,1912,H & FV,Top 2,33.2,19.5,-13.7,24,123,Two-round
NOR,Norway,1918,V,Top 1,28.3,40.5,12.2,51,126,Two-round
NOR,Norway,1918,H & FV,Top 2,30.4,39.7,9.3,50,126,Two-round
NPL,Nepal,1994,CPN-UML,Top 1,30.8,42.9,12.1,88,205,First-past-post
NPL,Nepal,1994,NC,Top 2,33.4,40.5,7.1,83,205,First-past-post
NPL,Nepal,1999,NC,Top 1,37.2,54.7,17.5,110,201,First-past-post
NPL,Nepal,1999,CPN-UML,Top 2,31.6,33.8,2.2,68,201,First-past-post
NZL,New Zealand,1902,LP/UP,Top 1,51.8,58.8,7,47,80,First-past-post
NZL,New Zealand,1902,RP,Top 2,20.6,23.8,3.2,19,80,First-past-post
NZL,New Zealand,1905,LP/UP,Top 1,53.1,72.5,19.4,58,80,First-past-post
NZL,New Zealand,1905,RP,Top 2,29.7,20,-9.7,16,80,First-past-post
NZL,New Zealand,1908,LP/UP,Top 1,58.7,62.5,3.8,50,80,First-past-post
NZL,New Zealand,1908,RP,Top 2,27.8,32.5,4.7,26,80,First-past-post
NZL,New Zealand,1911,RP,Top 1,35.4,46.3,10.9,37,80,First-past-post
NZL,New Zealand,1911,LP/UP,Top 2,41.1,41.3,0.2,33,80,First-past-post
NZL,New Zealand,1914,RP,Top 1,45.5,50,4.5,40,80,First-past-post
NZL,New Zealand,1914,LP/UP,Top 2,42.6,42.5,-0.1,34,80,First-past-post
NZL,New Zealand,1919,RP,Top 1,35.6,56.3,20.7,45,80,First-past-post
NZL,New Zealand,1919,LP/UP,Top 2,30.1,23.8,-6.3,19,80,First-past-post
NZL,New Zealand,1922,RP,Top 1,39.4,46.3,6.9,37,80,First-past-post
NZL,New Zealand,1922,LP/UP,Top 2,26.3,27.5,1.2,22,80,First-past-post
NZL,New Zealand,1925,RP,Top 1,47.2,68.8,21.6,55,80,First-past-post
NZL,New Zealand,1925,LP,Top 2,27.3,15,-12.3,12,80,First-past-post
NZL,New Zealand,1928,RP,Top 1,35.9,35,-0.9,28,80,First-past-post
NZL,New Zealand,1928,LP/UP,Top 2,30.2,33.8,3.6,27,80,First-past-post
NZL,New Zealand,1931,RP,Top 1,26.6,35,8.4,28,80,First-past-post
NZL,New Zealand,1931,LP,Top 2,34.3,30,-4.3,24,80,First-past-post
NZL,New Zealand,1935,LP,Top 1,45.7,66.3,20.6,53,80,First-past-post
NZL,New Zealand,1935,RP,Top 2,33.5,23.8,-9.7,19,80,First-past-post
NZL,New Zealand,1938,LP,Top 1,55.8,66.3,10.5,53,80,First-past-post
NZL,New Zealand,1938,NP,Top 2,40.3,31.3,-9,25,80,First-past-post
NZL,New Zealand,1946,LP,Top 1,51.3,52.5,1.2,42,80,First-past-post
NZL,New Zealand,1946,NP,Top 2,48.4,47.5,-0.9,38,80,First-past-post
NZL,New Zealand,1949,NP,Top 1,51.9,57.5,5.6,46,80,First-past-post
NZL,New Zealand,1949,LP,Top 2,47.2,42.5,-4.7,34,80,First-past-post
NZL,New Zealand,1951,NP,Top 1,53.9,62.5,8.6,50,80,First-past-post
NZL,New Zealand,1951,LP,Top 2,45.9,37.5,-8.4,30,80,First-past-post
NZL,New Zealand,1954,NP,Top 1,44.3,56.3,12,45,80,First-past-post
NZL,New Zealand,1954,LP,Top 2,44.1,43.8,-0.3,35,80,First-past-post
NZL,New Zealand,1957,LP,Top 1,48.3,51.3,3,41,80,First-past-post
NZL,New Zealand,1957,NP,Top 2,44.2,48.8,4.6,39,80,First-past-post
NZL,New Zealand,1960,NP,Top 1,47.6,57.5,9.9,46,80,First-past-post
NZL,New Zealand,1960,LP,Top 2,43.4,42.5,-0.9,34,80,First-past-post
NZL,New Zealand,1963,NP,Top 1,47.1,56.3,9.2,45,80,First-past-post
NZL,New Zealand,1963,LP,Top 2,43.7,43.8,0.1,35,80,First-past-post
NZL,New Zealand,1966,NP,Top 1,43.6,55,11.4,44,80,First-past-post
NZL,New Zealand,1966,LP,Top 2,41.4,43.8,2.4,35,80,First-past-post
NZL,New Zealand,1969,NP,Top 1,45.2,53.6,8.4,45,84,First-past-post
NZL,New Zealand,1969,LP,Top 2,44.2,46.4,2.2,39,84,First-past-post
NZL,New Zealand,1972,LP,Top 1,48.4,63.2,14.8,55,87,First-past-post
NZL,New Zealand,1972,NP,Top 2,41.5,36.8,-4.7,32,87,First-past-post
NZL,New Zealand,1975,NP,Top 1,47.4,63.2,15.8,55,87,First-past-post
NZL,New Zealand,1975,LP,Top 2,39.7,36.8,-2.9,32,87,First-past-post
NZL,New Zealand,1978,NP,Top 1,39.8,55.4,15.6,51,92,First-past-post
NZL,New Zealand,1978,LP,Top 2,40.4,43.5,3.1,40,92,First-past-post
NZL,New Zealand,1981,NP,Top 1,38.8,51.1,12.3,47,92,First-past-post
NZL,New Zealand,1981,LP,Top 2,39,46.7,7.7,43,92,First-past-post
NZL,New Zealand,1984,LP,Top 1,43,58.9,15.9,56,95,First-past-post
NZL,New Zealand,1984,NP,Top 2,35.9,38.9,3,37,95,First-past-post
NZL,New Zealand,1987,LP,Top 1,48,59.8,11.8,58,97,First-past-post
NZL,New Zealand,1987,NP,Top 2,44,40.2,-3.8,39,97,First-past-post
NZL,New Zealand,1990,NP,Top 1,47.8,69.1,21.3,67,97,First-past-post
NZL,New Zealand,1990,LP,Top 2,35.1,29.9,-5.2,29,97,First-past-post
NZL,New Zealand,1993,NP,Top 1,35,50.5,15.5,50,99,First-past-post
NZL,New Zealand,1993,LP,Top 2,34.7,45.5,10.8,45,99,First-past-post
PAK,Pakistan,1997,PML(N),Top 1,45.9,64.7,18.8,134,207,First-past-post
PAK,Pakistan,1997,indep,Top 2,14.1,10.1,-4,21,207,First-past-post
PAK,Pakistan,2018,PTI,Top 1,31.8,43.6,11.8,149,342,First-past-post
PAK,Pakistan,2018,PML(N),Top 2,24.4,24.3,-0.1,83,342,First-past-post
PHL,Philippines,1961,PNP,Top 1,61,71.2,10.2,74,104,First-past-post
PHL,Philippines,1961,PLP,Top 2,33.7,27.9,-5.8,29,104,First-past-post
PHL,Philippines,1965,PLP,Top 1,51.3,59.2,7.9,61,103,First-past-post
PHL,Philippines,1965,PNP,Top 2,41.8,36.9,-4.9,38,103,First-past-post
PNG,Papua New Guinea,1977,PP/PNUP,Top 1,35,37,2,40,108,First-past-post
PNG,Papua New Guinea,1977,UP,Top 2,10,22.2,12.2,24,108,First-past-post
PNG,Papua New Guinea,1982,PP/PNUP,Top 1,34,56.5,22.5,61,108,First-past-post
PNG,Papua New Guinea,1982,NP,Top 2,10,17.6,7.6,19,108,First-past-post
PNG,Papua New Guinea,1987,PP/PNUP,Top 1,14.9,25.5,10.6,27,106,First-past-post
PNG,Papua New Guinea,1987,PDM,Top 2,10.9,24.5,13.6,26,106,First-past-post
PNG,Papua New Guinea,1992,indep,Top 1,63.1,27.5,-35.6,30,109,First-past-post
PNG,Papua New Guinea,1992,PP/PNUP,Top 2,9.3,20.2,10.9,22,109,First-past-post
PNG,Papua New Guinea,1997,indep,Top 1,61.4,33,-28.4,36,109,First-past-post
PNG,Papua New Guinea,1997,PPP,Top 2,6.5,14.7,8.2,16,109,First-past-post
RUS,Russia,1993,DVR,Top 1,15.5,17.1,1.6,76,444,Two-round
RUS,Russia,1993,LDPR,Top 2,22.9,14.2,-8.7,63,444,Two-round
SGP,Singapore,2011,PAP,Top 1,60.2,93.1,32.9,81,87,Two-round
SGP,Singapore,2011,WP,Top 2,12.8,6.9,-5.9,6,87,Two-round
SGP,Singapore,2015,PAP,Top 1,69.9,93.3,23.4,83,89,Two-round
SGP,Singapore,2015,WP,Top 2,12.5,6.7,-5.8,6,89,Two-round
SLB,Solomon Islands,1980,SIUP,Top 1,18,42.1,24.1,16,38,First-past-post
SLB,Solomon Islands,1980,PAP,Top 2,15.7,26.3,10.6,10,38,First-past-post
SLB,Solomon Islands,1980,indep,Top 3,57.6,26.3,-31.3,10,38,First-past-post
SLB,Solomon Islands,1984,SIUP,Top 1,21.4,34.2,12.8,13,38,First-past-post
SLB,Solomon Islands,1984,PAP,Top 2,23.2,31.6,8.4,12,38,First-past-post
SLB,Solomon Islands,1989,PAP,Top 1,19.2,60.5,41.3,23,38,First-past-post
SLB,Solomon Islands,1989,SIUP,Top 2,18.1,10.5,-7.6,4,38,First-past-post
SLB,Solomon Islands,1989,indep,Top 3,55.7,10.5,-45.2,4,38,First-past-post
SLB,Solomon Islands,1993,NURPP,Top 1,23,42.6,19.6,20,47,First-past-post
SLB,Solomon Islands,1993,PAP,Top 2,16.4,19.1,2.7,9,47,First-past-post
SLE,Sierra Leone,2002,SLPP,Top 1,69.9,74.1,4.2,83,112,First-past-post
SLE,Sierra Leone,2002,APC,Top 2,19.8,24.1,4.3,27,112,First-past-post
TTO,Trinidad and Tobago,1956,PNM,Top 1,39.8,54.2,14.4,13,24,First-past-post
TTO,Trinidad and Tobago,1956,PDP,Top 2,20.8,20.8,0,5,24,First-past-post
TTO,Trinidad and Tobago,1961,PNM,Top 1,57,66.7,9.7,20,30,First-past-post
TTO,Trinidad and Tobago,1961,DLP,Top 2,41.7,33.3,-8.4,10,30,First-past-post
TTO,Trinidad and Tobago,1966,PNM,Top 1,52.4,66.7,14.3,24,36,First-past-post
TTO,Trinidad and Tobago,1966,DLP,Top 2,34,33.3,-0.7,12,36,First-past-post
TTO,Trinidad and Tobago,1971,PNM,Top 1,84.1,100,15.9,36,36,First-past-post
TTO,Trinidad and Tobago,1971,DLP,Top 2,12.6,0,-12.6,0,36,First-past-post
TTO,Trinidad and Tobago,1976,PNM,Top 1,53.6,66.7,13.1,24,36,First-past-post
TTO,Trinidad and Tobago,1976,ULF,Top 2,26.9,27.8,0.9,10,36,First-past-post
TTO,Trinidad and Tobago,1981,PNM,Top 1,53.8,72.2,18.4,26,36,First-past-post
TTO,Trinidad and Tobago,1981,NAR,Top 2,20.2,27.8,7.6,10,36,First-past-post
TTO,Trinidad and Tobago,1986,NAR,Top 1,67.3,91.7,24.4,33,36,First-past-post
TTO,Trinidad and Tobago,1986,PNM,Top 2,31.1,8.3,-22.8,3,36,First-past-post
TTO,Trinidad and Tobago,1991,PNM,Top 1,45,58.3,13.3,21,36,First-past-post
TTO,Trinidad and Tobago,1991,UNC,Top 2,29.1,36.1,7,13,36,First-past-post
TTO,Trinidad and Tobago,1995,UNC,Top 1,45.8,47.2,1.4,17,36,First-past-post
TTO,Trinidad and Tobago,1995,PNM,Top 2,48.8,47.2,-1.6,17,36,First-past-post
TTO,Trinidad and Tobago,2000,UNC,Top 1,45.8,52.8,7,19,36,First-past-post
TTO,Trinidad and Tobago,2000,PNM,Top 2,48.8,44.4,-4.4,16,36,First-past-post
TTO,Trinidad and Tobago,2001,PNM,Top 1,50.7,55.6,4.9,20,36,First-past-post
TTO,Trinidad and Tobago,2001,UNC,Top 2,46.6,44.4,-2.2,16,36,First-past-post
TTO,Trinidad and Tobago,2002,PNM,Top 1,50.7,55.6,4.9,20,36,First-past-post
TTO,Trinidad and Tobago,2002,UNC,Top 2,46.6,44.4,-2.2,16,36,First-past-post
TTO,Trinidad and Tobago,2007,PNM,Top 1,45.9,63.4,17.5,26,41,First-past-post
TTO,Trinidad and Tobago,2007,UNC,Top 2,29.8,36.6,6.8,15,41,First-past-post
TTO,Trinidad and Tobago,2010,PP,Top 1,60,70.7,10.7,29,41,First-past-post
TTO,Trinidad and Tobago,2010,PNM,Top 2,39.7,29.3,-10.4,12,41,First-past-post
TTO,Trinidad and Tobago,2015,PNM,Top 1,51.7,56.1,4.4,23,41,First-past-post
TTO,Trinidad and Tobago,2015,UNC,Top 2,39.6,41.5,1.9,17,41,First-past-post
TZA,Tanzania,1995,CCM,Top 1,59.2,77.8,18.6,214,275,First-past-post
TZA,Tanzania,1995,CCW,Top 2,5,10.2,5.2,28,275,First-past-post
TZA,Tanzania,2000,CCM,Top 1,65.2,87.5,22.3,258,295,First-past-post
TZA,Tanzania,2000,CCW,Top 2,12.5,7.5,-5,22,295,First-past-post
TZA,Tanzania,2005,CCM,Top 1,70,85.1,15.1,275,323,First-past-post
TZA,Tanzania,2005,CCW,Top 2,14.2,9.6,-4.6,31,323,First-past-post
TZA,Tanzania,2015,CCM,Top 1,55,68.9,13.9,253,367,First-past-post
TZA,Tanzania,2015,Chadema,Top 2,31.8,19.1,-12.7,70,367,First-past-post
UKR,Ukraine,1994,indep,Top 1,54.9,37.3,-17.6,168,450,Two-round
USA,United States of America,1900,Rep,Top 1,52.1,55.2,3.1,197,357,First-past-post
USA,United States of America,1900,Dem,Top 2,43,42.3,-0.7,151,357,First-past-post
USA,United States of America,1902,Rep,Top 1,50.5,53.9,3.4,208,386,First-past-post
USA,United States of America,1902,Dem,Top 2,43.8,46.1,2.3,178,386,First-past-post
USA,United States of America,1904,Rep,Top 1,55,64.8,9.8,250,386,First-past-post
USA,United States of America,1904,Dem,Top 2,39.8,35.2,-4.6,136,386,First-past-post
USA,United States of America,1906,Rep,Top 1,51.2,57.5,6.3,222,386,First-past-post
USA,United States of America,1906,Dem,Top 2,42.5,42.5,0,164,386,First-past-post
USA,United States of America,1908,Rep,Top 1,50.9,56,5.1,219,391,First-past-post
USA,United States of America,1908,Dem,Top 2,44.5,44,-0.5,172,391,First-past-post
USA,United States of America,1910,Dem,Top 1,45.9,58.5,12.6,228,390,First-past-post
USA,United States of America,1910,Rep,Top 2,46.8,41.3,-5.5,161,390,First-past-post
USA,United States of America,1912,Dem,Top 1,41.4,66.9,25.5,291,435,First-past-post
USA,United States of America,1912,Rep,Top 2,31.6,29.2,-2.4,127,435,First-past-post
USA,United States of America,1914,Dem,Top 1,39.7,52.9,13.2,230,435,First-past-post
USA,United States of America,1914,Rep,Top 2,43,45.1,2.1,196,435,First-past-post
USA,United States of America,1916,Dem,Top 1,44.5,50,5.5,216,432,First-past-post
USA,United States of America,1916,Rep,Top 2,49.1,48.6,-0.5,210,432,First-past-post
USA,United States of America,1918,Rep,Top 1,54.6,55.4,0.8,240,433,First-past-post
USA,United States of America,1918,Dem,Top 2,40.5,43.9,3.4,190,433,First-past-post
USA,United States of America,1920,Rep,Top 1,58.2,69.7,11.5,303,435,First-past-post
USA,United States of America,1920,Dem,Top 2,35.7,30.1,-5.6,131,435,First-past-post
USA,United States of America,1922,Rep,Top 1,51.8,51.7,-0.1,225,435,First-past-post
USA,United States of America,1922,Dem,Top 2,44.2,47.1,2.9,205,435,First-past-post
USA,United States of America,1924,Rep,Top 1,55.9,56.8,0.9,247,435,First-past-post
USA,United States of America,1924,Dem,Top 2,39.9,42.3,2.4,184,435,First-past-post
USA,United States of America,1926,Rep,Top 1,57,54.5,-2.5,237,435,First-past-post
USA,United States of America,1926,Dem,Top 2,40.5,44.8,4.3,195,435,First-past-post
USA,United States of America,1928,Rep,Top 1,56.6,61.6,5,268,435,First-past-post
USA,United States of America,1928,Dem,Top 2,41.5,38.2,-3.3,166,435,First-past-post
USA,United States of America,1930,Rep,Top 1,52.7,50.1,-2.6,218,435,First-past-post
USA,United States of America,1930,Dem,Top 2,44.7,49.7,5,216,435,First-past-post
USA,United States of America,1932,Dem,Top 1,54.1,72,17.9,313,435,First-past-post
USA,United States of America,1932,Rep,Top 2,42.2,26.9,-15.3,117,435,First-past-post
USA,United States of America,1934,Dem,Top 1,53.2,73.6,20.4,320,435,First-past-post
USA,United States of America,1934,Rep,Top 2,42.5,24.1,-18.4,105,435,First-past-post
USA,United States of America,1936,Dem,Top 1,56.3,76.8,20.5,334,435,First-past-post
USA,United States of America,1936,Rep,Top 2,39.6,20.5,-19.1,89,435,First-past-post
USA,United States of America,1938,Dem,Top 1,47.5,60.2,12.7,262,435,First-past-post
USA,United States of America,1938,Rep,Top 2,47.8,38.9,-8.9,169,435,First-past-post
USA,United States of America,1940,Dem,Top 1,51.8,61.6,9.8,268,435,First-past-post
USA,United States of America,1940,Rep,Top 2,45.9,37.2,-8.7,162,435,First-past-post
USA,United States of America,1942,Dem,Top 1,44.2,51,6.8,222,435,First-past-post
USA,United States of America,1942,Rep,Top 2,51.7,48,-3.7,209,435,First-past-post
USA,United States of America,1944,Dem,Top 1,52.1,55.9,3.8,243,435,First-past-post
USA,United States of America,1944,Rep,Top 2,47,43.7,-3.3,190,435,First-past-post
USA,United States of America,1946,Rep,Top 1,54.5,56.6,2.1,246,435,First-past-post
USA,United States of America,1946,Dem,Top 2,42.7,43.2,0.5,188,435,First-past-post
USA,United States of America,1948,Dem,Top 1,52.7,60.5,7.8,263,435,First-past-post
USA,United States of America,1948,Rep,Top 2,45.4,39.3,-6.1,171,435,First-past-post
USA,United States of America,1950,Dem,Top 1,46,53.8,7.8,234,435,First-past-post
USA,United States of America,1950,Rep,Top 2,50.9,45.7,-5.2,199,435,First-past-post
USA,United States of America,1952,Rep,Top 1,49.3,50.8,1.5,221,435,First-past-post
USA,United States of America,1952,Dem,Top 2,49.7,49,-0.7,213,435,First-past-post
USA,United States of America,1954,Dem,Top 1,49.4,53.3,3.9,232,435,First-past-post
USA,United States of America,1954,Rep,Top 2,48.4,46.7,-1.7,203,435,First-past-post
USA,United States of America,1956,Dem,Top 1,51.1,53.8,2.7,234,435,First-past-post
USA,United States of America,1956,Rep,Top 2,48.7,46.2,-2.5,201,435,First-past-post
USA,United States of America,1958,Dem,Top 1,52.9,65,12.1,284,437,First-past-post
USA,United States of America,1958,Rep,Top 2,44.9,35,-9.9,153,437,First-past-post
USA,United States of America,1960,Dem,Top 1,54.7,60,5.3,262,437,First-past-post
USA,United States of America,1960,Rep,Top 2,44.6,40,-4.6,175,437,First-past-post
USA,United States of America,1962,Dem,Top 1,51.1,59.5,8.4,259,435,First-past-post
USA,United States of America,1962,Rep,Top 2,47.2,40.5,-6.7,176,435,First-past-post
USA,United States of America,1964,Dem,Top 1,57.7,67.8,10.1,295,435,First-past-post
USA,United States of America,1964,Rep,Top 2,41.9,32.2,-9.7,140,435,First-past-post
USA,United States of America,1966,Dem,Top 1,48.8,57,8.2,248,435,First-past-post
USA,United States of America,1966,Rep,Top 2,48.8,43,-5.8,187,435,First-past-post
USA,United States of America,1968,Dem,Top 1,50.5,55.9,5.4,243,435,First-past-post
USA,United States of America,1968,Rep,Top 2,48.3,44.1,-4.2,192,435,First-past-post
USA,United States of America,1970,Dem,Top 1,50.9,58.6,7.7,255,435,First-past-post
USA,United States of America,1970,Rep,Top 2,45.3,41.4,-3.9,180,435,First-past-post
USA,United States of America,1972,Dem,Top 1,52.6,55.9,3.3,243,435,First-past-post
USA,United States of America,1972,Rep,Top 2,46.2,44.1,-2.1,192,435,First-past-post
USA,United States of America,1974,Dem,Top 1,55.6,66.9,11.3,291,435,First-past-post
USA,United States of America,1974,Rep,Top 2,40.5,33.1,-7.4,144,435,First-past-post
USA,United States of America,1976,Dem,Top 1,56.7,67.1,10.4,292,435,First-past-post
USA,United States of America,1976,Rep,Top 2,41.7,32.9,-8.8,143,435,First-past-post
USA,United States of America,1978,Dem,Top 1,53.4,63,9.6,274,435,First-past-post
USA,United States of America,1978,Rep,Top 2,44.7,37,-7.7,161,435,First-past-post
USA,United States of America,1980,Dem,Top 1,50.6,55.9,5.3,243,435,First-past-post
USA,United States of America,1980,Rep,Top 2,47.9,44.1,-3.8,192,435,First-past-post
USA,United States of America,1982,Dem,Top 1,55,61.6,6.6,268,435,First-past-post
USA,United States of America,1982,Rep,Top 2,43.2,38.4,-4.8,167,435,First-past-post
USA,United States of America,1984,Dem,Top 1,52.4,58.2,5.8,253,435,First-past-post
USA,United States of America,1984,Rep,Top 2,46.8,41.8,-5,182,435,First-past-post
USA,United States of America,1986,Dem,Top 1,54.1,59.3,5.2,258,435,First-past-post
USA,United States of America,1986,Rep,Top 2,44.2,40.7,-3.5,177,435,First-past-post
USA,United States of America,1988,Dem,Top 1,53.7,59.8,6.1,260,435,First-past-post
USA,United States of America,1988,Rep,Top 2,45.2,40.2,-5,175,435,First-past-post
USA,United States of America,1990,Dem,Top 1,52,61.4,9.4,267,435,First-past-post
USA,United States of America,1990,Rep,Top 2,44,38.4,-5.6,167,435,First-past-post
USA,United States of America,1992,Dem,Top 1,50,59.3,9.3,258,435,First-past-post
USA,United States of America,1992,Rep,Top 2,44.8,40.5,-4.3,176,435,First-past-post
USA,United States of America,1994,Rep,Top 1,51.5,52.9,1.4,230,435,First-past-post
USA,United States of America,1994,Dem,Top 2,44.8,46.9,2.1,204,435,First-past-post
USA,United States of America,1996,Rep,Top 1,47.8,52.2,4.4,227,435,First-past-post
USA,United States of America,1996,Dem,Top 2,48.1,47.6,-0.5,207,435,First-past-post
USA,United States of America,1998,Rep,Top 1,48,51.3,3.3,223,435,First-past-post
USA,United States of America,1998,Dem,Top 2,47.1,48.5,1.4,211,435,First-past-post
USA,United States of America,2000,Rep,Top 1,47,50.8,3.8,221,435,First-past-post
USA,United States of America,2000,Dem,Top 2,47.3,48.7,1.4,212,435,First-past-post
USA,United States of America,2002,Rep,Top 1,49.7,52.5,2.8,228,434,First-past-post
USA,United States of America,2002,Dem,Top 2,45,47.2,2.2,205,434,First-past-post
USA,United States of America,2004,Rep,Top 1,49.3,53.1,3.8,231,435,First-past-post
USA,United States of America,2004,Dem,Top 2,46.5,46.7,0.2,203,435,First-past-post
USA,United States of America,2006,Dem,Top 1,52.3,53.6,1.3,233,435,First-past-post
USA,United States of America,2006,Rep,Top 2,44.3,46.4,2.1,202,435,First-past-post
